id,title,genres,averageRating,numVotes,releaseYear
tt0252597,"Feyzo, the Polite One","Comedy, Drama",8.7,17687,1978
tt6019206,"Kill Bill: The Whole Bloody Affair","Action, Crime, Thriller",8.7,17622,2006
tt0076276,"Who's Singin' Over There?","Adventure, Comedy, Drama",8.7,16954,1980
tt7738784,Peranbu,"Drama, Family",8.7,16920,2018
tt14888874,"Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc","Action, Animation, Fantasy",8.7,16894,2020
tt0201368,"The Broken Landlord","Comedy, Drama",8.7,16721,1985
tt17592606,Daman,"Adventure, Drama",8.7,13888,2022
tt0214915,Manichithrathazhu,"Comedy, Horror, Mystery",8.7,13009,1993
tt8737152,Toma,"Biography, Drama, Music",8.7,12726,2021
tt0765833,"Happy Days","Comedy, Drama, Family",8.7,12186,1978
tt0090015,Shoah,"Documentary, History, War",8.7,10820,1985
tt0114369,Se7en,"Crime, Drama, Mystery",8.6,1854346,1995
tt0102926,"The Silence of the Lambs","Crime, Drama, Thriller",8.6,1593121,1991
tt0120815,"Saving Private Ryan","Drama, War",8.6,1534116,1998
tt0076759,"Star Wars: Episode IV - A New Hope","Action, Adventure, Fantasy",8.6,1479908,1977
tt0120689,"The Green Mile","Crime, Drama, Fantasy",8.6,1447107,1999
tt0103064,"Terminator 2: Judgment Day","Action, Adventure, Sci-Fi",8.6,1204427,1991
tt0245429,"Spirited Away","Adventure, Animation, Family",8.6,880590,2001
tt0317248,"City of God","Crime, Drama",8.6,819565,2002
tt0118799,"Life Is Beautiful","Comedy, Drama, Romance",8.6,760193,1997
tt10811166,"The Kashmir Files",Drama,8.6,575443,2022
tt0038650,"It's a Wonderful Life","Drama, Family, Fantasy",8.6,509985,1946
tt9362722,"Spider-Man: Across the Spider-Verse","Action, Adventure, Animation",8.6,417288,2023
tt0047478,"Seven Samurai","Action, Drama",8.6,375499,1954
tt0056058,Harakiri,"Action, Drama, Mystery",8.6,73971,1962
tt27719898,Kaiva,"Action, Drama, Romance",8.6,68926,2023
tt0367495,"Anbe Sivam","Adventure, Comedy, Drama",8.6,26197,2003
tt0358456,Earthlings,Documentary,8.6,19999,2005
tt0252489,"The Chaos Class Is on Vacation",Comedy,8.6,19174,1977
tt0116860,"Pretty Village, Pretty Flame","Drama, History, War",8.6,18101,1996
tt0271383,"A Dog's Will","Comedy, Drama, Fantasy",8.6,17668,2000
tt4139928,"The Legend of Maula Jatt","Action, Drama, Fantasy",8.6,10888,2022
tt0267351,"My Dear Brother",Drama,8.6,10523,1973
tt1853728,"Django Unchained","Comedy, Drama, Western",8.5,1743006,2012
tt0172495,Gladiator,"Action, Adventure, Drama",8.5,1684221,2000
tt0482571,"The Prestige","Drama, Mystery, Sci-Fi",8.5,1478175,2006
tt0407887,"The Departed","Crime, Drama, Thriller",8.5,1454707,2006
tt0088763,"Back to the Future","Adventure, Comedy, Sci-Fi",8.5,1344096,1985
tt0110413,"Léon: The Professional","Action, Crime, Drama",8.5,1275945,1994
tt0120586,"American History X","Crime, Drama",8.5,1210007,1998
tt0110357,"The Lion King","Adventure, Animation, Drama",8.5,1173142,1994
tt0114814,"The Usual Suspects","Crime, Drama, Mystery",8.5,1167457,1995
tt2582802,Whiplash,"Drama, Music",8.5,1031718,2014
tt6751668,Parasite,"Drama, Thriller",8.5,1009436,2019
tt0078748,Alien,"Horror, Sci-Fi",8.5,991218,1979
tt1675434,"The Intouchables","Comedy, Drama",8.5,953779,2011
tt0253474,"The Pianist","Biography, Drama, Music",8.5,940340,2002
tt0054215,Psycho,"Horror, Mystery, Thriller",8.5,736960,1960
tt0034583,Casablanca,"Drama, Romance, War",8.5,618754,1942
tt15239678,"Dune: Part Two","Action, Adventure, Drama",8.5,547196,2024
tt0047396,"Rear Window","Mystery, Thriller",8.5,534877,1954
tt0064116,"Once Upon a Time in the West","Drama, Western",8.5,357125,1968
tt0095327,"Grave of the Fireflies","Animation, Drama, War",8.5,329241,1988
tt0095765,"Cinema Paradiso","Drama, Romance",8.5,291429,1988
tt0027977,"Modern Times","Comedy, Drama, Romance",8.5,265999,1936
tt0021749,"City Lights","Comedy, Drama, Romance",8.5,201229,1931
tt1424432,Senna,"Biography, Documentary, Sport",8.5,78274,2010
tt20850406,"Sita Ramam","Action, Drama, Mystery",8.5,72360,2022
tt26548265,Maharaja,"Action, Crime, Drama",8.5,53644,2024
tt1152758,"Dear Zachary: A Letter to a Son About His Father","Biography, Crime, Documentary",8.5,41922,2008
tt0103767,Baraka,Documentary,8.5,41559,1992
tt7019842,96,"Drama, Romance",8.5,39513,2018
tt11580854,"Sarpatta Parambarai","Action, Drama, Sport",8.5,26249,2021
tt24082438,"20 Days in Mariupol","Documentary, War",8.5,23692,2023
tt8948790,Jersey,"Drama, Sport",8.5,23682,2019
tt0346336,"The Best of Youth","Drama, Romance",8.5,23658,2003
tt0058625,"Woman in the Dunes","Drama, Thriller",8.5,23518,1964
tt1014762,Home,"Documentary, Family",8.5,23166,2009
tt0253997,"The King of the Street Cleaners","Comedy, Romance",8.5,21836,1977
tt0054407,"The Hole","Crime, Drama, Thriller",8.5,21162,1960
tt0079221,"Gol Maal","Comedy, Romance",8.5,20438,1979
tt8413338,"Kumbalangi Nights","Comedy, Drama, Romance",8.5,19041,2019
tt0263975,"The Girl with the Red Scarf","Drama, Romance",8.5,17259,1977
tt0101649,Thalapathi,"Action, Crime, Drama",8.5,13781,1991
tt9617456,"For Sama","Biography, Documentary, War",8.5,13112,2019
tt0253991,Zübük,Comedy,8.5,11456,1980
tt1345836,"The Dark Knight Rises","Action, Drama, Thriller",8.4,1873049,2012
tt0361748,"Inglourious Basterds","Adventure, Drama, War",8.4,1631604,2009
tt7286456,Joker,"Crime, Drama, Thriller",8.4,1562201,2019
tt0209144,Memento,"Mystery, Thriller",8.4,1350869,2000
tt4154796,"Avengers: Endgame","Action, Adventure, Drama",8.4,1312236,2019
tt4154756,"Avengers: Infinity War","Action, Adventure, Sci-Fi",8.4,1246067,2018
tt0910970,WALL·E,"Adventure, Animation, Family",8.4,1231776,2008
tt0081505,"The Shining","Drama, Horror",8.4,1139775,1980
tt0082971,"Indiana Jones and the Raiders of the Lost Ark","Action, Adventure",8.4,1055223,1981
tt0090605,Aliens,"Action, Adventure, Sci-Fi",8.4,791982,1986
tt0078788,"Apocalypse Now","Drama, Mystery, War",8.4,726103,1979
tt4633694,"Spider-Man: Into the Spider-Verse","Action, Adventure, Animation",8.4,701880,2018
tt2380307,Coco,"Adventure, Animation, Drama",8.4,622515,2017
tt1187043,"3 Idiots","Comedy, Drama",8.4,446928,2009
tt0086879,Amadeus,"Biography, Drama, Music",8.4,438488,1984
tt0405094,"The Lives of Others","Drama, Mystery, Thriller",8.4,418924,2006
tt5311514,"Your Name.","Animation, Drama, Fantasy",8.4,339169,2016
tt0082096,"Das Boot","Drama, War",8.4,270292,1981
tt0032553,"The Great Dictator","Comedy, Drama, War",8.4,243027,1940
tt0043014,"Sunset Boulevard","Drama, Film-Noir",8.4,242730,1950
tt0050825,"Paths of Glory","Drama, War",8.4,219820,1957
tt0051201,"Witness for the Prosecution","Crime, Drama, Mystery",8.4,143151,1957
tt8267604,Capernaum,Drama,8.4,110950,2018
tt0057565,"High and Low","Crime, Drama, Mystery",8.4,56413,1963
tt1313104,"The Cove","Biography, Crime, Documentary",8.4,51902,2009
tt21626284,"Lost Ladies","Comedy, Drama",8.4,45146,2023
tt9900782,Kaithi,"Action, Crime, Drama",8.4,44818,2019
tt12361178,"Drishyam 2","Crime, Drama, Thriller",8.4,42022,2021
tt0770802,Samsara,"Documentary, Music",8.4,38598,2011
tt9477520,Asuran,"Action, Drama",8.4,34745,2019
tt3674140,"The Salt of the Earth","Biography, Documentary, History",8.4,24019,2014
tt0416960,"The Lizard","Comedy, Drama",8.4,23039,2004
tt0400234,"Black Friday","Action, Crime, Drama",8.4,22369,2004
tt4987556,"Thani Oruvan","Action, Crime, Thriller",8.4,22195,2015
tt5959980,"Vada Chennai","Action, Crime, Drama",8.4,20620,2018
tt0047445,"Sansho the Bailiff",Drama,8.4,18682,1954
tt0052572,"The World of Apu",Drama,8.4,17240,1959
tt7465992,Mahanati,"Biography, Drama",8.4,15301,2018
tt0059550,"Operation 'Y' & Other Shurik's Adventures","Comedy, Crime, Drama",8.4,15246,1965
tt0073000,"The Pinchcliffe Grand Prix","Animation, Comedy, Family",8.4,14528,1975
tt0314067,Philanthropy,"Comedy, Drama",8.4,14047,2002
tt0252591,"King of the Doormen",Comedy,8.4,13972,1976
tt4991384,Visaaranai,"Crime, Drama, Thriller",8.4,12542,2015
tt12415546,"Attack on Titan: Chronicle","Action, Adventure, Animation",8.4,12133,2020
tt0184756,"Mr. Muhsin","Comedy, Drama, Music",8.4,12076,1987
tt0383846,"When I Grow Up, I'll Be a Kangaroo",Comedy,8.4,11755,2004
tt0169547,"American Beauty",Drama,8.3,1230536,1999
tt1049413,Up,"Adventure, Animation, Comedy",8.3,1154532,2009
tt0086190,"Star Wars: Episode VI - Return of the Jedi","Action, Adventure, Fantasy",8.3,1143984,1983
tt0105236,"Reservoir Dogs","Crime, Thriller",8.3,1112092,1992
tt0112573,Braveheart,"Biography, Drama, War",8.3,1110751,1995
tt0338013,"Eternal Sunshine of the Spotless Mind","Drama, Romance, Sci-Fi",8.3,1106969,2004
tt0119217,"Good Will Hunting","Drama, Romance",8.3,1103664,1997
tt0114709,"Toy Story","Adventure, Animation, Comedy",8.3,1096206,1995
tt0086250,Scarface,"Crime, Drama",8.3,941095,1983
tt0180093,"Requiem for a Dream",Drama,8.3,920005,2000
tt0435761,"Toy Story 3","Adventure, Animation, Comedy",8.3,912178,2010
tt15398776,Oppenheimer,"Biography, Drama, History",8.3,817524,2023
tt0211915,Amélie,"Comedy, Romance",8.3,807075,2001
tt0113277,Heat,"Action, Crime, Drama",8.3,737144,1995
tt0062622,"2001: A Space Odyssey","Adventure, Sci-Fi",8.3,736911,1968
tt0364569,Oldboy,"Action, Drama, Mystery",8.3,657110,2003
tt0057012,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Comedy, War",8.3,529259,1964
tt0033467,"Citizen Kane","Drama, Mystery",8.3,474074,1941
tt0119698,"Princess Mononoke","Action, Adventure, Animation",8.3,446905,1997
tt0052357,Vertigo,"Mystery, Romance, Thriller",8.3,436899,1958
tt0087843,"Once Upon a Time in America","Crime, Drama",8.3,386157,1984
tt2106476,"The Hunt",Drama,8.3,375891,2012
tt0053125,"North by Northwest","Action, Adventure, Mystery",8.3,353283,1959
tt0056592,"To Kill a Mockingbird","Crime, Drama",8.3,338439,1962
tt0056172,"Lawrence of Arabia","Adventure, Biography, Drama",8.3,322200,1962
tt0070735,"The Sting","Comedy, Crime, Drama",8.3,285012,1973
tt0045152,"Singin' in the Rain","Comedy, Musical, Romance",8.3,266799,1952
tt1832382,"A Separation",Drama,8.3,264148,2011
tt5074352,Dangal,"Action, Biography, Drama",8.3,218294,2016
tt1255953,Incendies,"Drama, Mystery, War",8.3,213937,2010
tt0986264,"Like Stars on Earth","Drama, Family",8.3,212219,2007
tt0053604,"The Apartment","Comedy, Drama, Romance",8.3,202124,1960
tt0017136,Metropolis,"Drama, Sci-Fi",8.3,190142,1927
tt0040522,"Bicycle Thieves",Drama,8.3,179544,1948
tt0022100,M,"Crime, Mystery, Thriller",8.3,172996,1931
tt0036775,"Double Indemnity","Crime, Drama, Film-Noir",8.3,171145,1944
tt8110330,"Dil Bechara","Comedy, Drama, Romance",8.3,135636,2020
tt10295212,Shershaah,"Action, Biography, Drama",8.3,131235,2021
tt8503618,Hamilton,"Biography, Drama, History",8.3,120642,2020
tt0091251,"Come and See","Drama, Thriller, War",8.3,104049,1985
tt0044741,Ikiru,Drama,8.3,91454,1952
tt0055031,"Judgment at Nuremberg","Drama, War",8.3,87905,1961
tt29623480,"The Wild Robot","Animation, Sci-Fi",8.3,82244,2024
tt9179430,Vikram,"Action, Crime, Drama",8.3,78106,2022
tt9052870,Chhichhore,"Comedy, Drama, Romance",8.3,66118,2019
tt7060344,Raatchasan,"Action, Crime, Drama",8.3,52407,2018
tt10280296,"Sardar Udham","Biography, Crime, Drama",8.3,48319,2021
tt3417422,Drishyam,"Crime, Drama, Thriller",8.3,45044,2013
tt0019760,"Man with a Movie Camera",Documentary,8.3,28631,1929
tt0110057,"Hoop Dreams","Documentary, Drama, Sport",8.3,28462,1994
tt7681902,"Won't You Be My Neighbor?","Biography, Documentary, History",8.3,27445,2018
tt4679210,Premam,"Comedy, Drama, Romance",8.3,24821,2015
tt3668162,"Bangalore Days","Comedy, Drama, Romance",8.3,23579,2014
tt0376127,Anniyan,"Action, Crime, Drama",8.3,22483,2005
tt0058888,"Red Beard",Drama,8.3,21778,1965
tt0037674,"Children of Paradise","Drama, Romance",8.3,21550,1945
tt9098872,"The Rescue","Action, Documentary, Mystery",8.3,21481,2021
tt0110081,"To Live","Drama, War",8.3,20999,1994
tt4908644,"Winter on Fire: Ukraine's Fight for Freedom","Documentary, History, War",8.3,20872,2015
tt0050634,"The Cranes Are Flying","Drama, Romance, War",8.3,20470,1957
tt13391710,"Jana Gana Mana","Crime, Drama, Thriller",8.3,18235,2022
tt10214826,"Agent Sai Srinivasa Athreya","Comedy, Crime, Mystery",8.3,17490,2019
tt0195231,Satya,"Action, Crime, Drama",8.3,17199,1998
tt0062759,"The Diamond Arm","Adventure, Comedy, Crime",8.3,16678,1969
tt5312232,Sairat,"Drama, Romance",8.3,15124,2016
tt0085743,"Jaane Bhi Do Yaaro","Comedy, Crime, Drama",8.3,14963,1983
tt5867800,Aruvi,Drama,8.3,14610,2016
tt0061847,"Samurai Rebellion",Drama,8.3,14514,1967
tt3521134,"The Look of Silence","Biography, Documentary, History",8.3,14135,2014
tt0060584,"Kidnapping, Caucasian Style","Adventure, Comedy, Drama",8.3,13937,1967
tt9006564,2018,"Action, Drama, Thriller",8.3,13556,2023
tt2358592,Lucia,"Drama, Sci-Fi, Thriller",8.3,13507,2013
tt0072783,"Chupke Chupke","Comedy, Drama, Romance",8.3,13417,1975
tt0068519,"Gentlemen of Fortune","Comedy, Crime, Drama",8.3,13238,1971
tt0252619,"From the Village to the City",Comedy,8.3,12113,1974
tt2877108,"Soodhu Kavvum","Comedy, Crime, Thriller",8.3,12109,2013
tt0139876,Baasha,"Action, Crime, Drama",8.3,11844,1995
tt18568902,"Kaun Pravin Tambe?","Biography, Drama, Sport",8.3,11348,2022
tt8652818,"Violet Evergarden: The Movie","Animation, Drama, Fantasy",8.3,11214,2020
tt0179955,"Cat City","Adventure, Animation, Comedy",8.3,10982,1986
tt4851630,"Maheshinte Prathikaaram","Comedy, Drama, Thriller",8.3,10817,2016
tt0301634,"Frozen Stiff","Comedy, Drama",8.3,10331,2002
tt0993846,"The Wolf of Wall Street","Biography, Comedy, Crime",8.2,1635604,2013
tt0372784,"Batman Begins","Action, Crime, Drama",8.2,1614237,2005
tt1130884,"Shutter Island","Drama, Mystery, Thriller",8.2,1505632,2010
tt0120382,"The Truman Show","Comedy, Drama",8.2,1238958,1998
tt0266697,"Kill Bill: Vol. 1","Action, Crime, Thriller",8.2,1223791,2003
tt0266543,"Finding Nemo","Adventure, Animation, Comedy",8.2,1137107,2003
tt0107290,"Jurassic Park","Action, Adventure, Sci-Fi",8.2,1093794,1993
tt0477348,"No Country for Old Men","Crime, Drama, Thriller",8.2,1091304,2007
tt0167404,"The Sixth Sense","Drama, Mystery, Thriller",8.2,1077455,1999
tt0268978,"A Beautiful Mind","Biography, Drama, Mystery",8.2,1005289,2001
tt0095016,"Die Hard","Action, Thriller",8.2,964138,1988
tt0075314,"Taxi Driver","Crime, Drama",8.2,951344,1976
tt0208092,Snatch,"Comedy, Crime",8.2,928703,2000
tt10872600,"Spider-Man: No Way Home","Action, Adventure, Fantasy",8.2,916496,2021
tt0066921,"A Clockwork Orange","Crime, Sci-Fi",8.2,897129,1971
tt1392214,Prisoners,"Crime, Drama, Mystery",8.2,841152,2013
tt0097576,"Indiana Jones and the Last Crusade","Action, Adventure",8.2,824798,1989
tt0093058,"Full Metal Jacket","Drama, War",8.2,807239,1987
tt1745960,"Top Gun: Maverick","Action, Drama",8.2,740921,2022
tt0457430,"Pan's Labyrinth","Drama, Fantasy, War",8.2,714213,2006
tt8579674,1917,"Action, Drama, History",8.2,703831,2019
tt0469494,"There Will Be Blood",Drama,8.2,655586,2007
tt0119488,"L.A. Confidential","Crime, Drama, Mystery",8.2,630857,1997
tt6966692,"Green Book","Biography, Comedy, Drama",8.2,605421,2018
tt0071853,"Monty Python and the Holy Grail","Adventure, Comedy, Fantasy",8.2,579317,1975
tt0112641,Casino,"Crime, Drama",8.2,577992,1995
tt0084787,"The Thing","Horror, Mystery, Sci-Fi",8.2,484033,1982
tt0347149,"Howl's Moving Castle","Adventure, Animation, Family",8.2,467151,2004
tt0105695,Unforgiven,"Drama, Western",8.2,444585,1992
tt0363163,Downfall,"Biography, Drama, History",8.2,381802,2004
tt0031381,"Gone with the Wind","Drama, Romance, War",8.2,340051,1939
tt0053291,"Some Like It Hot","Comedy, Music, Romance",8.2,288724,1959
tt0059578,"For a Few Dollars More","Drama, Western",8.2,281625,1965
tt0080678,"The Elephant Man","Biography, Drama",8.2,264092,1980
tt0057115,"The Great Escape","Adventure, Drama, Thriller",8.2,263582,1963
tt1305806,"The Secret in Their Eyes","Drama, Mystery, Romance",8.2,227240,2009
tt10272386,"The Father","Drama, Mystery",8.2,203316,2020
tt4729430,Klaus,"Adventure, Animation, Comedy",8.2,197525,2019
tt0046912,"Dial M for Murder","Crime, Thriller",8.2,193417,1954
tt0042876,Rashomon,"Crime, Drama, Mystery",8.2,185099,1950
tt10698680,"K.G.F: Chapter 2","Action, Crime, Drama",8.2,154412,2022
tt0042192,"All About Eve",Drama,8.2,141509,1950
tt0089881,Ran,"Action, Drama, War",8.2,139575,1985
tt0012349,"The Kid","Comedy, Drama, Family",8.2,137977,1921
tt0040897,"The Treasure of the Sierra Madre","Adventure, Drama, Western",8.2,134712,1948
tt0055630,Yojimbo,"Action, Drama, Thriller",8.2,134426,1961
tt4849438,"Baahubali 2: The Conclusion","Action, Drama",8.2,118917,2017
tt5813916,"The Mountain II","Action, Drama, War",8.2,110984,2016
tt1954470,"Gangs of Wasseypur","Action, Comedy, Crime",8.2,106049,2012
tt8108198,Andhadhun,"Crime, Mystery, Thriller",8.2,106032,2018
tt15327088,Kantara,"Action, Adventure, Drama",8.2,105679,2022
tt7838252,"K.G.F: Chapter 1","Action, Crime, Drama",8.2,101729,2018
tt0367110,Swades,"Drama, Musical",8.2,100198,2004
tt4430212,Drishyam,"Crime, Drama, Mystery",8.2,98520,2015
tt0476735,"My Father and My Son","Drama, Family",8.2,94914,2005
tt1562872,"Zindagi Na Milegi Dobara","Comedy, Drama, Musical",8.2,88427,2011
tt0118849,"Children of Heaven","Drama, Family, Sport",8.2,83029,1997
tt1645089,"Inside Job","Crime, Documentary",8.2,80240,2010
tt11032374,"Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train","Action, Adventure, Animation",8.2,78977,2020
tt0242519,"Hera Pheri","Action, Comedy, Crime",8.2,74465,2000
tt8291224,"Uri: The Surgical Strike","Action, Drama, History",8.2,74290,2019
tt2125608,"Searching for Sugar Man","Biography, Documentary, Music",8.2,73894,2012
tt2356180,"Bhaag Milkha Bhaag","Biography, Drama, Sport",8.2,73555,2013
tt8239946,Tumbbad,"Drama, Fantasy, Horror",8.2,65469,2018
tt0015324,"Sherlock Jr.","Action, Comedy, Romance",8.2,59180,1924
tt10431500,"Miracle in Cell No. 7",Drama,8.2,57548,2019
tt6148156,"Vikram Vedha","Action, Crime, Drama",8.2,51881,2017
tt15501640,"Drishyam 2","Crime, Drama, Mystery",8.2,47020,2022
tt6316138,"Ayla: The Daughter of War","Biography, Drama, History",8.2,44870,2017
tt0085809,Koyaanisqatsi,"Documentary, Music",8.2,42550,1982
tt2375605,"The Act of Killing","Biography, Crime, Documentary",8.2,41610,2012
tt0048473,"Pather Panchali",Drama,8.2,39434,1955
tt7905466,"They Shall Not Grow Old","Documentary, History, War",8.2,39118,2018
tt1620933,"Paan Singh Tomar","Action, Biography, Crime",8.2,38459,2012
tt5895028,13th,"Crime, Documentary, History",8.2,38136,2016
tt0071411,"Dersu Uzala","Adventure, Biography, Drama",8.2,34305,1975
tt5929776,"The First Born","Documentary, News",8.2,29124,2016
tt0045274,"Umberto D.",Drama,8.2,28923,1952
tt7392212,Rangasthalam,"Action, Drama",8.2,28485,2018
tt0049902,"A Man Escaped","Drama, Thriller, War",8.2,26346,1956
tt4983780,Maanaadu,"Action, Adventure, Sci-Fi",8.2,25927,2021
tt0466460,"Khosla Ka Ghosla!","Comedy, Crime, Drama",8.2,25460,2006
tt0100234,Close-Up,"Biography, Crime, Drama",8.2,24098,1990
tt26458038,"Manjummel Boys","Adventure, Drama, Thriller",8.2,23291,2024
tt0042804,"The Young and the Damned","Crime, Drama",8.2,22467,1950
tt0054248,"Rocco and His Brothers","Crime, Drama, Sport",8.2,22176,1960
tt28607951,Anora,"Comedy, Drama, Romance",8.2,20382,2024
tt0041154,"Late Spring","Comedy, Drama",8.2,19926,1949
tt0070233,"Ivan Vasilyevich Changes His Profession","Adventure, Comedy, Sci-Fi",8.2,18978,1973
tt0117293,"Paradise Lost: The Child Murders at Robin Hood Hills","Crime, Documentary",8.2,18545,1996
tt0100332,"Paris Is Burning",Documentary,8.2,18539,1990
tt25433734,"Hi Nanna","Drama, Family, Romance",8.2,18472,2023
tt7019942,"Super Deluxe","Comedy, Crime, Drama",8.2,18345,2019
tt5460658,"Life and a Day",Drama,8.2,18108,2016
tt2181831,Shahid,"Biography, Drama",8.2,17982,2012
tt0048452,Ordet,Drama,8.2,17863,1955
tt0422320,Ghilli,"Action, Drama, Romance",8.2,17840,2004
tt0081059,"Lion of the Desert","Biography, Drama, History",8.2,17817,1980
tt0050371,"A Face in the Crowd","Drama, Music",8.2,17772,1957
tt7060460,"Theeran Adhigaram Ondru","Action, Crime, Thriller",8.2,17566,2017
tt6380520,"Dhuruvangal Pathinaaru","Crime, Drama, Mystery",8.2,17307,2016
tt2218988,"Ustad Hotel","Comedy, Drama",8.2,17151,2012
tt0048956,Aparajito,Drama,8.2,16472,1956
tt0471571,Athadu,"Action, Crime, Drama",8.2,15365,2005
tt0023042,"I Am a Fugitive from a Chain Gang","Crime, Drama, Film-Noir",8.2,14786,1932
tt1180583,"Vaaranam Aayiram","Action, Drama, Musical",8.2,14757,2008
tt9500372,"Pocket Hercules: Naim Süleymanoglu","Biography, Drama, History",8.2,14470,2019
tt3569782,Jigarthanda,"Comedy, Crime, Drama",8.2,13941,2014
tt9124428,Champion,"Biography, Drama, Romance",8.2,13490,2018
tt0101985,"A Brighter Summer Day","Crime, Drama, Romance",8.2,13455,1991
tt0056512,"The Easy Life","Comedy, Drama",8.2,13073,1962
tt0111341,Satantango,Drama,8.2,12962,1994
tt0052600,"Ballad of a Soldier","Drama, Romance, War",8.2,11592,1959
tt0058604,"I Am Cuba",Drama,8.2,11124,1964
tt0076727,"Office Romance","Comedy, Drama, Romance",8.2,10699,1977
tt0075404,"The Ascent","Drama, War",8.2,10596,1977
tt0843326,Bommarillu,"Comedy, Drama, Romance",8.2,10301,2006
tt3153634,Hope,Drama,8.2,10299,2013
tt0325980,"Pirates of the Caribbean: The Curse of the Black Pearl","Action, Adventure, Fantasy",8.1,1239316,2003
tt0434409,"V for Vendetta","Action, Drama, Sci-Fi",8.1,1198142,2005
tt1392190,"Mad Max: Fury Road","Action, Adventure, Sci-Fi",8.1,1138752,2015
tt0264464,"Catch Me If You Can","Biography, Crime, Drama",8.1,1131159,2002
tt2267998,"Gone Girl","Drama, Mystery, Thriller",8.1,1095733,2014
tt0198781,"Monsters, Inc.","Adventure, Animation, Comedy",8.1,1005084,2001
tt1201607,"Harry Potter and the Deathly Hallows: Part 2","Adventure, Family, Fantasy",8.1,972360,2011
tt0088247,"The Terminator","Action, Adventure, Sci-Fi",8.1,946187,1984
tt2278388,"The Grand Budapest Hotel","Adventure, Comedy, Crime",8.1,907011,2014
tt0118715,"The Big Lebowski","Comedy, Crime",8.1,876098,1998
tt3315342,Logan,"Action, Drama, Sci-Fi",8.1,868332,2017
tt0382932,Ratatouille,"Adventure, Animation, Comedy",8.1,856782,2007
tt2096673,"Inside Out","Adventure, Animation, Comedy",8.1,840591,2015
tt0083658,"Blade Runner","Action, Drama, Sci-Fi",8.1,839118,1982
